0,0,0,0,0,0,1,12,0,5,18,0,15,19,22,0,0,0,0,0,17,9,13,0,25
0,13,10,23,0,0,0,8,9,25,0,0,0,0,6,0,0,0,0,0,18,0,20,0,5
7,0,11,0,0,0,22,0,0,0,10,0,0,9,13,0,0,4,5,0,14,23,0,0,0
1,21,12,0,0,17,0,4,0,18,25,0,24,16,0,15,0,0,3,0,6,0,2,8,0
0,25,0,8,18,0,2,14,0,15,7,17,5,21,0,6,20,13,0,0,4,24,3,11,1
0,0,5,16,0,23,11,0,0,0,12,0,0,0,0,25,0,0,2,4,0,0,10,7,0
0,0,0,0,0,2,0,13,1,8,0,16,7,0,11,0,0,0,0,0,0,17,0,0,0
22,0,2,0,12,25,20,0,0,0,0,6,0,0,9,0,16,0,15,0,0,19,8,0,14
0,0,0,9,0,16,24,15,22,0,0,5,18,2,0,0,13,0,1,0,25,0,11,0,3
0,19,0,13,0,0,12,0,5,0,20,0,1,0,0,10,23,8,0,3,0,18,6,0,16
18,0,19,0,1,21,0,0,0,0,3,22,14,0,0,0,0,0,10,8,0,15,7,6,2
0,10,0,0,0,0,9,1,0,6,0,15,0,18,0,14,0,22,0,12,8,16,0,4,0
0,0,0,12,21,20,0,18,0,23,6,13,9,1,2,4,0,5,0,24,11,10,0,0,0
0,4,0,5,24,22,0,19,0,10,0,21,0,7,0,1,0,2,9,0,0,0,0,20,0
9,7,15,6,0,12,16,0,0,0,0,0,17,4,24,0,0,0,0,20,3,0,23,0,19
5,0,22,3,0,6,0,16,25,4,0,0,21,0,1,0,10,0,23,0,0,20,0,24,0
11,0,16,0,4,0,23,0,12,0,0,3,22,20,0,0,6,25,21,9,0,8,0,0,0
25,0,7,18,0,0,5,0,8,0,24,0,0,10,0,0,0,0,16,1,21,0,15,0,23
0,0,0,1,0,0,0,0,0,0,5,0,13,14,0,19,2,12,0,15,0,0,0,0,0
0,2,17,0,0,1,7,0,0,11,0,0,0,0,25,0,0,0,4,14,0,12,9,0,0
24,22,21,14,10,0,0,7,2,1,0,4,16,17,19,8,0,18,25,0,20,6,0,13,0
0,6,13,0,16,0,21,0,0,17,0,24,20,0,18,2,0,11,0,19,0,0,14,10,4
0,0,0,17,19,0,6,23,0,0,22,7,0,0,15,0,0,0,13,0,0,0,5,0,21
23,0,1,0,9,0,0,0,0,0,21,0,0,0,0,24,12,15,0,0,0,3,18,25,0
3,0,4,15,7,0,0,0,0,0,11,23,12,0,5,22,0,10,6,0,0,0,0,0,0
