35,14,36,2,9,20,25,4,23,6,34,11,21,30,8,31,3,15,18,33,17,10,19,16,26,1,12,29,24,27,5,13,22,7,32,28
33,5,10,7,29,17,20,21,19,2,26,1,13,4,34,35,12,32,31,36,6,22,3,30,11,14,28,16,23,18,24,27,9,25,8,15
27,23,4,12,3,6,15,5,24,33,36,35,28,14,1,16,29,22,9,11,34,21,8,2,25,32,30,7,10,13,19,18,17,26,31,20
11,19,24,16,21,32,14,13,27,8,12,10,6,26,20,18,7,23,25,35,5,1,29,28,15,9,36,31,22,17,3,2,4,30,34,33
28,13,30,25,26,34,18,31,3,29,7,22,9,17,2,10,5,27,12,14,32,20,24,15,8,4,19,6,35,33,21,11,36,23,16,1
8,31,18,22,15,1,32,9,17,30,28,16,36,24,33,11,25,19,23,27,7,4,26,13,20,34,21,2,3,5,14,12,35,29,6,10
5,26,29,34,18,35,12,7,1,25,24,36,17,10,6,21,13,14,27,8,9,31,28,23,16,2,32,30,11,19,22,20,33,15,3,4
19,20,23,21,13,27,16,11,22,32,18,29,4,34,35,28,15,2,6,1,10,3,7,14,24,8,33,17,5,31,30,36,26,12,9,25
15,32,12,11,30,4,34,20,5,21,14,26,18,27,9,29,19,3,24,13,33,16,25,22,10,6,7,23,36,1,31,17,2,35,28,8
17,9,14,24,25,10,23,6,33,31,2,4,30,1,16,7,8,36,26,34,18,12,21,32,3,35,20,28,15,22,11,5,29,27,13,19
6,16,31,8,33,7,27,3,13,28,15,19,23,11,26,5,22,24,36,20,35,30,2,17,29,12,34,4,9,25,10,21,1,32,18,14
2,1,22,36,28,3,8,10,9,17,35,30,32,31,12,20,33,25,5,4,15,29,11,19,13,27,18,14,26,21,23,24,16,6,7,34
9,18,7,20,27,30,10,25,4,1,31,28,24,13,5,26,32,33,11,21,14,36,6,29,35,19,3,15,8,34,12,22,23,17,2,16
32,10,21,4,11,15,3,30,36,26,20,13,27,35,23,17,6,12,7,31,2,19,16,8,33,5,25,22,1,29,28,9,14,34,24,18
12,28,1,35,16,23,24,8,29,19,21,5,22,2,36,34,4,30,32,26,27,17,10,3,9,18,13,11,14,20,7,25,15,31,33,6
31,6,25,17,8,26,33,27,35,12,9,34,29,18,21,14,10,20,22,24,13,15,5,1,7,16,2,32,28,23,4,19,11,3,36,30
22,36,19,33,24,29,17,2,14,18,6,23,11,7,15,3,16,8,20,12,28,9,34,25,21,31,27,26,30,4,32,10,13,1,35,5
14,34,3,13,2,5,11,32,7,22,16,15,19,28,25,1,9,31,33,18,30,35,23,4,36,17,10,12,6,24,8,26,27,20,29,21
10,22,15,1,23,12,31,26,21,27,19,20,34,32,13,6,11,35,29,17,25,5,9,7,28,33,24,8,18,14,16,3,30,2,4,36
18,8,26,9,5,13,6,14,34,3,29,7,33,12,28,36,20,21,4,30,23,2,32,10,22,15,31,35,19,16,27,1,25,24,17,11
21,29,34,31,20,14,22,17,30,15,1,32,16,8,3,24,27,4,19,6,11,13,35,36,12,23,9,5,25,2,18,33,28,10,26,7
4,17,32,3,35,36,13,24,28,10,25,9,2,19,7,23,18,5,21,16,20,8,33,27,30,26,1,34,29,11,15,6,31,14,12,22
16,25,11,19,6,24,35,36,2,23,8,33,31,9,30,22,1,10,14,28,12,18,15,26,27,3,17,13,4,7,34,29,20,5,21,32
30,27,2,28,7,33,5,12,16,4,11,18,26,15,29,25,14,17,3,22,31,24,1,34,32,10,6,21,20,36,35,8,19,9,23,13
24,11,6,14,19,8,36,18,31,7,22,3,25,5,10,12,30,34,17,9,21,28,13,20,23,29,4,27,33,15,2,35,32,16,1,26
29,30,16,26,4,2,19,35,12,13,32,14,3,23,11,33,31,18,15,10,1,7,22,6,5,24,8,25,17,28,9,34,21,36,20,27
23,3,20,18,31,21,30,15,26,16,10,27,35,36,32,9,17,13,8,5,24,34,14,33,19,7,11,1,2,12,25,28,6,4,22,29
36,7,13,15,10,28,2,34,11,20,17,6,1,21,24,27,26,16,35,29,3,25,4,31,18,22,14,9,32,30,33,23,5,8,19,12
1,35,33,27,17,9,29,28,25,5,23,21,8,20,22,4,2,6,30,19,26,32,12,18,31,36,16,10,34,3,13,15,7,11,14,24
25,12,5,32,34,22,4,1,8,9,33,24,15,29,14,19,28,7,16,2,36,23,27,11,6,21,26,20,13,35,17,31,10,18,30,3
34,2,9,29,32,11,26,16,6,24,3,12,14,25,17,8,23,28,13,15,19,33,20,35,4,30,5,36,21,10,1,7,18,22,27,31
3,4,27,6,12,25,9,19,10,35,13,17,20,22,18,30,24,11,1,7,16,14,36,5,34,28,23,33,31,26,29,32,8,21,15,2
13,24,8,23,1,19,7,29,15,36,30,31,5,33,27,2,34,26,10,32,4,6,18,21,17,25,22,3,16,9,20,14,12,28,11,35
7,33,35,30,36,16,28,22,20,14,5,2,10,3,19,32,21,9,34,23,29,26,31,12,1,11,15,18,27,8,6,4,24,13,25,17
20,21,28,5,22,18,1,23,32,11,4,25,7,16,31,15,36,29,2,3,8,27,17,24,14,13,35,19,12,6,26,30,34,33,10,9
26,15,17,10,14,31,21,33,18,34,27,8,12,6,4,13,35,1,28,25,22,11,30,9,2,20,29,24,7,32,36,16,3,19,5,23
