14,5,6,3,1,8,10,13,2,12,9,16,7,4,11,15
10,13,16,15,2,7,11,3,5,8,14,4,6,1,12,9
7,2,1,9,12,4,16,6,11,10,13,15,8,3,14,5
4,12,8,11,14,5,9,15,7,6,1,3,2,13,16,10
2,4,3,12,11,15,6,7,9,14,16,5,10,8,13,1
16,10,15,8,5,9,3,1,13,4,11,7,12,2,6,14
11,9,14,13,4,12,2,8,6,3,10,1,15,16,5,7
6,1,5,7,13,16,14,10,12,15,8,2,11,9,4,3
13,3,12,6,9,1,5,4,14,7,2,10,16,15,8,11
15,11,4,1,7,14,13,12,3,16,6,8,5,10,9,2
8,16,10,14,3,6,15,2,1,9,5,11,13,12,7,4
5,7,9,2,10,11,8,16,4,13,15,12,3,14,1,6
9,15,2,4,8,10,7,11,16,1,12,6,14,5,3,13
3,8,11,16,6,2,1,14,15,5,4,13,9,7,10,12
12,6,13,5,16,3,4,9,10,2,7,14,1,11,15,8
1,14,7,10,15,13,12,5,8,11,3,9,4,6,2,16
