7,14,9,8,15,16,5,12,2,1,3,4,6,10,11,13
 11,2,12,4,14,3,1,6,5,13,7,10,8,16,15,9 
3,6,15,1,13,9,10,8,16,14,12,11,4,7,2,5
 10,5,13,16,2,7,11,4,15,9,6,8,12,1,14,3 
2,13,8,15,11,12,7,14,6,3,10,9,5,4,1,16 
14,1,16,9,4,10,8,3,12,11,5,13,15,6,7,2 
6,12,7,10,1,13,2,5,4,8,13,15,14,3,9,11
 5,3,4,11,16,6,9,15,1,7,2,14,10,13,12,8 
1,15,11,7,10,8,3,2,14,12,13,6,9,5,16,4 
13,9,14,12,7,5,15,11,3,4,8,16,1,2,6,10
 16,10,5,3,9,4,6,13,7,2,15,1,11,12,8,14 
8,4,2,6,12,1,14,16,9,10,11,5,3,15,13,7 
15,11,10,2,5,14,13,1,8,16,4,12,7,9,3,6 
9,7,1,5,6,11,16,10,13,15,14,3,2,8,4,12 
4,8,6,13,3,2,12,9,11,5,1,7,16,14,10,15
 12,16,3,14,8,15,4,7,10,6,9,2,13,11,5,1
