3,17,6,13,23,25,12,5,9,19,20,14,18,4,8,24,10,11,22,16,1,2,7,21,15
15,20,25,16,21,24,2,3,18,10,1,13,5,22,23,14,7,4,9,6,12,8,17,11,19
4,18,14,12,19,13,21,7,15,1,9,11,2,6,25,8,23,5,17,3,20,22,16,24,10
7,11,22,8,24,20,23,6,14,16,21,17,3,19,10,15,2,12,1,25,9,18,5,4,13
1,2,9,10,5,4,8,11,22,17,24,15,7,12,16,20,21,13,19,18,25,23,14,6,3
13,15,23,18,7,12,5,25,19,6,16,8,17,21,24,3,9,10,14,20,11,4,1,22,2
8,21,17,4,9,22,3,14,24,11,25,10,6,5,2,18,1,7,15,19,13,20,23,16,12
5,24,20,22,1,16,18,17,23,8,13,19,14,7,15,11,12,25,4,2,10,21,3,9,6
12,6,10,25,16,15,4,1,2,9,18,3,23,20,11,21,13,22,24,17,7,14,8,19,5
11,19,2,14,3,21,20,10,7,13,4,9,22,1,12,6,8,16,23,5,17,24,15,18,25
2,25,19,24,10,17,1,8,3,21,23,5,16,11,6,12,22,20,7,9,18,15,13,14,4
14,4,8,6,18,11,24,12,25,22,3,21,9,13,20,2,17,1,10,15,16,5,19,23,7
17,9,15,7,12,2,13,18,6,4,19,22,8,25,14,5,16,23,3,21,24,1,20,10,11
20,1,5,21,13,7,9,16,10,23,15,4,12,17,18,19,24,8,11,14,2,3,6,25,22
22,3,16,23,11,5,19,15,20,14,10,24,1,2,7,13,6,18,25,4,21,9,12,8,17
6,10,24,1,15,9,25,21,16,12,17,7,19,14,4,22,20,2,8,23,5,13,11,3,18
9,7,12,2,4,14,11,24,5,15,6,20,13,23,3,25,19,17,18,10,8,16,22,1,21
18,23,11,3,22,19,17,2,13,20,8,25,15,10,21,1,5,24,16,7,14,6,4,12,9
19,8,13,17,20,1,6,22,4,18,12,2,24,16,5,9,3,14,21,11,15,10,25,7,23
25,16,21,5,14,3,10,23,8,7,22,18,11,9,1,4,15,6,12,13,19,17,2,20,24
21,13,1,20,17,23,15,4,12,2,11,16,10,18,22,7,25,9,6,8,3,19,24,5,14
23,14,3,15,6,18,7,19,11,24,5,1,20,8,17,10,4,21,2,12,22,25,9,13,16
16,12,4,11,8,10,22,9,1,5,14,6,25,3,19,17,18,15,13,24,23,7,21,2,20
10,22,7,9,25,6,14,20,17,3,2,23,21,24,13,16,11,19,5,1,4,12,18,15,8
24,5,18,19,2,8,16,13,21,25,7,12,4,15,9,23,14,3,20,22,6,11,10,17,1
