0,0,9,0,0,0,5,12,0,1,0,4,0,10,11,0
0,2,0,0,0,3,0,0,5,13,7,0,8,16,0,0
3,6,0,0,13,0,0,0,0,14,0,0,4,7,2,0
0,5,0,0,0,7,11,4,15,0,0,8,12,0,0,0
0,13,0,15,11,0,0,14,6,0,0,9,0,0,1,16
14,0,0,9,4,0,0,0,12,11,5,13,0,0,0,0
0,0,0,0,0,0,0,0,4,8,0,0,14,3,0,0
0,0,0,11,16,6,0,0,0,0,0,0,10,13,0,0
0,0,11,7,0,0,0,0,0,0,13,6,9,0,0,0
0,0,14,12,0,0,15,11,0,0,0,0,0,0,0,0
0,0,0,0,9,4,6,13,0,0,0,1,11,0,0,14
8,4,0,0,12,0,0,16,9,0,0,5,3,0,13,0
0,0,0,2,5,0,0,1,8,16,4,0,0,0,3,0
0,7,1,5,0,0,16,0,0,0,0,3,0,0,4,12
0,0,6,13,0,2,12,9,0,0,1,0,0,0,10,0
0,16,3,0,8,0,4,0,10,6,0,0,0,11,0,0
