14,0,6,0,0,0,10,0,0,0,0,16,7,0,11,15
0,0,16,0,2,0,0,0,5,0,0,0,0,1,0,9
0,0,0,0,0,0,16,6,0,10,13,15,8,0,0,0
0,0,8,0,14,5,0,15,0,6,0,3,0,0,0,10
0,0,3,0,11,0,6,0,0,14,0,5,0,8,13,0
0,0,0,0,0,0,3,0,0,0,0,7,12,0,0,0
11,9,0,13,4,12,0,0,6,3,10,0,15,0,5,0
0,1,0,7,0,16,0,0,0,0,0,2,11,9,0,3
13,0,12,6,9,0,0,0,0,0,2,0,16,0,8,0
0,11,0,1,0,14,13,12,0,0,6,8,5,0,9,2
0,0,0,14,3,0,0,0,0,9,0,0,0,0,0,0
0,7,9,0,10,0,8,0,0,13,0,12,0,14,0,0
9,0,0,0,8,0,7,0,16,0,12,6,0,5,0,0
0,0,0,16,6,2,1,0,15,5,0,0,0,0,0,0
12,0,13,0,0,0,0,9,0,0,0,14,0,11,0,0
1,14,0,10,15,0,0,0,0,11,0,0,0,6,0,16
